movieId,time,totalAvailableSeats
40001,10/28/2023 10:00:00 AM,20
40001,10/28/2023 1:30:00 PM,20
40001,10/28/2023 4:00:00 PM,20
40001,10/28/2023 6:30:00 PM,20
40001,10/28/2023 9:00:00 PM,20
40002,10/28/2023 11:00:00 AM,20
40002,10/28/2023 2:00:00 PM,20
40002,10/28/2023 4:30:00 PM,20
40002,10/28/2023 7:00:00 PM,20
40002,10/28/2023 9:30:00 PM,20
40003,10/28/2023 11:30:00 AM,20
40003,10/28/2023 3:00:00 PM,20
40003,10/28/2023 6:30:00 PM,20
40003,10/28/2023 9:00:00 PM,20
40003,10/28/2023 10:30:00 PM,20
